"label","text"
"0.0","美的已经跌得我开始怀疑人生了怎么会这样啊！方总"
"1.0","重大利好：央行放大招！15天三度“降息” 明天还有大动作！三箭齐发释放什么信"
"1.0","保宝主力抢了很多血筹做一次饿狼。领头的饿狼，我以满仓赌"
"0.0","买这股相当于搬了一座大山压在头上"
"0.0","辣鸡就是辣鸡 格力两天上涨4% 茅台两天上涨8.2% 你个垃圾两天1% 玛丽隔壁"
"1.0","长春高新中国最具投资价值的医药股之一。"
"0.0","这垃圾一个多月跌了百分之二十五！地产板块中的绿头龟排名第一！！！！"
"0.0","这人明显是托。此位叫你去买。明显骗你接盘"
"0.0","明个儿保利，带头砸，直到收长下影"
"0.0","机构从格力赚了钱，打压美的，来美的建仓吗？大家到时要及时上车"
"1.0","A股跨年度行情，从12月4日左右启动！"
"0.0","高开不是好事！"
"1.0","逆市上涨，牛掰"
"1.0","长春高新到收盘，还是翻红!有您的!赞!"
"1.0","下午直线涨停吗"
"0.0","不好！"
"0.0","回调14以下"
"1.0","别装逼了，我认为跌不下来，形势不同了"
"0.0","告诉你们韭菜 不是唱空 股市就是这样 不怕低位放利空 就怕高位放利好 何况预期的利好 众人皆知 先知埋伏 利好兑现 高位出货 见光死 韭菜接盘"
"0.0","13的本，本想今天回本就走，结果走成这烂样"
"0.0","垃圾天生的贱骨头！喜欢戴绿帽子！"
"0.0","恶心，涨时是大盘股，跌时比小盘都来的快狠猛，垃圾！"
"1.0","加仓加包，满仓干"
"1.0","美的盈利了200亿，能给我们分多少红？"
"0.0","看到保利。心都凉了，一个星期，4天跑不过大盘。一个星期远输大盘"
"1.0","69又下单了，下来让我再吸下货呗"
"0.0","砸盘的急着去投胎"
"1.0","价值投资"
"1.0","漫长的横盘整理已经结束下方支撑有力坚如磐石上涨空间巨大任君飞翔5.98是这波上涨的起涨点必将重演火热行情"
"0.0","格力雄起有劲，美的萎缩无力。感概啊！"
"0.0","下午暴跌，土地增值税来了，房地产受死吧"
"0.0","美的，让你在牛市中亏钱，哈哈"
"0.0","这货下跌总冲在前面"
"1.0","美好的一天开始了 相信梦想 相信600048有奇迹"
"0.0","还好忍住了没有接 美的今天走势走的像狗屎 最后十分钟大盘上涨几个点 美的只回落不跟涨 今晚美股一调整 明天还得跌 太弱了 最近连儿子小天鹅走势都不如"
"0.0","敬请各位观看，蓝筹股走向不归路"
"0.0","悲哀"
"0.0","今天卖出四只医疗基金，他马的被坑了。"
"0.0","都不知道你是不是蓝筹"
"0.0","目标价50元"
"0.0","强弩之末"
"0.0","凭啥这么坑！？连跌10天了吧有"
"0.0","跌也不加，路长，走着瞧"
"0.0","看到股吧的帖子都在看空我就放心了"
"0.0","连收几根避雷针，是不是大伙们准备走避雷了？？？"
"0.0","高新还得跌"
"0.0","股价一跌就传言，其实就是主力跑了，跟金磊没关系。"
"1.0","国家发改委副主任宁吉喆表示，今年将制定出台促进汽车、家电等热点产品消费的措施。"
"0.0","赖狗扶不上墙！"
"0.0","一分时线一浪比一浪小我建议大家赶紧撤"
"1.0","割啥肉，大盘不好加上利空才如此跌，多拿几天看看，13.68半仓就是不割"
"0.0","一天涨不够2分钟跌，还真是长脸呀"
"0.0","考太嘿"
"1.0","地产行情启动，不是闹着玩的"
"1.0","恭喜昨天买入的，今天如果板块走好起码有3个点利润"
"0.0","大家要小心"
"0.0","看来我的475是解不了了"
"0.0","回购对庄家是个好消息，他正愁没人接盘呢。"
"0.0","大公司跑不赢小公司了"
"0.0","这二天的目的在最后一分钟暴露无遗了！即便是中期良好的业绩，但在这种大环境下，回避是最好的选择！"
"1.0","19年会有个大牛市，没上车，没上车吧"
"0.0","熊市路慢慢"
"0.0","垃圾美的 拖累了整个家电行业"
"1.0","55元！4月20日年报前后站上55元是非常大概率的"
"1.0","科技是虚的！炒高了暴跌！唯有业绩是实的！业绩才是王者！"
"0.0","走了，狗庄你涨吧"
"0.0","200元有投资价值。"
"0.0","现在的美的不再美，并购小天鹅的威力太大了，把美的股价砸成垃圾了"
